gene,mean_LPS,mean_Control,log2FC_LPS_vs_Control,pvalue,padj
Olfr1394,2.7796566666666664,2.5865733333333334,0.19308333333333305,0.004542554630470408,0.8013854442691011
Coq10b,5.678356666666667,4.49475,1.183606666666667,0.004553957556334878,0.8013854442691011
St3gal1,8.14989,6.272843333333334,1.877046666666665,0.0045692082177165,0.8013854442691011
Sp140,5.92017,4.987378333333333,0.9327916666666667,0.004589871140915681,0.8013854442691011
1700080G11Rik,1.9426766666666666,1.6498633333333332,0.29281333333333337,0.004648373740001762,0.8013854442691011
H2-Q6,5.040146666666666,3.4496333333333333,1.5905133333333326,0.004656869199033753,0.8013854442691011
Slfn2,9.114263333333334,6.52628,2.5879833333333337,0.0046733738245944585,0.8013854442691011
AI848100,6.648313333333334,5.935523333333333,0.7127900000000009,0.004681200833277833,0.8013854442691011
Pcdhgb6,2.69061,2.5748533333333334,0.11575666666666651,0.004684069019036157,0.8013854442691011
6530402F18Rik,4.288703333333333,1.9278566666666668,2.3608466666666663,0.004695265982255968,0.8013854442691011
Syt11,4.250533333333333,3.7811866666666667,0.4693466666666666,0.004713461417414692,0.8013854442691011
Fam108c,7.80205,7.0669966666666655,0.7350533333333349,0.004714988412214229,0.8013854442691011
St7,5.219163333333333,4.429293333333334,0.7898699999999996,0.0047486282979966364,0.8015749616721035
Clstn1,6.638113333333333,6.085483333333333,0.5526299999999997,0.0048420589958715066,0.8117860132874373
Ranbp17,2.258026666666667,2.4030766666666667,-0.1450499999999999,0.004887323653614413,0.8138384556981568
Rnf149,9.176683333333333,8.206826666666666,0.9698566666666668,0.004932476773276915,0.8150453434727085
LOC100862610,2.294773333333333,2.42497,-0.13019666666666696,0.00496071420251192,0.8150453434727085
Lrrc43,2.114926666666667,2.4976333333333334,-0.38270666666666653,0.0050183605441583255,0.8188412307034514
Eif5a,8.458156666666666,8.60218,-0.14402333333333495,0.005050268495310392,0.8188412307034514
Ktn1,6.94547,6.445520000000001,0.49994999999999923,0.005188005016217897,0.8333462867585354
Evi5,6.832683333333333,6.094913333333333,0.7377699999999994,0.005226271116812978,0.8333462867585354
Gm19500,2.5517866666666666,2.1593,0.39248666666666665,0.005241171614833556,0.8333462867585354
Krtap16-10b,2.3348366666666664,1.82643,0.5084066666666665,0.00529081912640035,0.8358476754495937
Ccdc66,6.145063333333333,5.530829999999999,0.6142333333333339,0.005523218664863035,0.8555310041821764
Il20rb,4.034206666666666,3.3588666666666662,0.6753399999999998,0.005524367217241658,0.8555310041821764
Parp14,8.236343333333334,5.252496666666667,2.9838466666666674,0.005589379510172561,0.8555310041821764
Frmd7,2.398163333333333,2.0620666666666665,0.3360966666666667,0.005597714069160747,0.8555310041821764
Glce,5.4304033333333335,5.119515,0.31088833333333366,0.005615433876391529,0.8555310041821764
Tmbim4,6.562323333333334,5.712509999999999,0.8498133333333353,0.005624502411404735,0.8555310041821764
Ppp2r5b,4.3584249999999995,3.698441666666666,0.6599833333333334,0.005707544915123927,0.8555310041821764
Prkar2b,6.79401,5.493503333333334,1.3005066666666663,0.005719099919019112,0.8555310041821764
C130026I21Rik,5.7328624999999995,4.950856666666667,0.7820058333333328,0.005727839954962836,0.8555310041821764
Prdm4,6.19503,5.650643333333334,0.5443866666666661,0.005783877229495654,0.8586967127766288
Gm2102,3.9759766666666665,4.377680000000001,-0.4017033333333342,0.0059057636048036885,0.865860923299022
Slc22a4,6.41319,4.013323333333333,2.399866666666667,0.005917960630979139,0.865860923299022
Cd40,6.53406,4.81072,1.7233400000000003,0.005937532807365985,0.865860923299022
Ccl3,11.640333333333333,11.132266666666666,0.5080666666666662,0.006015039808727368,0.8720038593299175
