Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,CBM,VBM
mp-2712701,Na3HfZn3PS5O24,Triclinic,P1,1,111,0.03088,-2.21349,FALSE,1530.85287,3.31588,3.929,TRUE,FALSE,NM,0,4.4769,0.5479
mp-2712740,Na6HfZn3Si2(SO6)4,Triclinic,P1,1,120,0.116,-2.30399,FALSE,1611.50771,3.34189,3.04,TRUE,FALSE,NM,0,4.6224,1.5824
mp-2712789,Na6ZrZn3Si2(SO6)4,Triclinic,P1,1,120,0.12126,-2.28421,FALSE,1623.3298,3.04976,2.6644,TRUE,FALSE,NM,0,4.2324,1.568
mp-2712791,Na6TiZn3Si2(SO6)4,Triclinic,P1,1,120,0.11675,-2.26347,FALSE,1556.2858,3.04236,1.2711,TRUE,FALSE,NM,0,2.9882,1.7171
mp-2712805,Na6Zn3SnP4(SO12)2,Triclinic,P1,1,120,0.07131,-2.3085,FALSE,1556.69072,3.27977,2.7135,TRUE,FALSE,NM,0,3.9939,1.2804
mp-2712810,Na6ZrZn3P4(SO12)2,Triclinic,P1,1,120,0.073,-2.45033,FALSE,1579.81912,3.14509,3.8972,TRUE,FALSE,NM,0,4.8477,0.9505
mp-2712813,Na6TiZn3P4(SO12)2,Triclinic,P1,1,120,0.0687,-2.42157,FALSE,1522.98057,3.12064,2.2299,TRUE,FALSE,NM,0,3.3944,1.1645
mp-2713137,Na4Zn3SnP2(SO6)4,Triclinic,P1,1,114,0.06224,-2.12399,FALSE,1539.76016,3.17414,2.0981,TRUE,FALSE,NM,0,3.4217,1.3236
mp-2713151,Na4TiZn3P2(SO6)4,Triclinic,P1,1,114,0.05826,-2.24425,FALSE,1495.97428,3.03113,1.699,TRUE,FALSE,NM,0,2.7526,1.0536
mp-2713153,Na10Hf5Zn3Si6(SO8)6,Triclinic,P1,1,234,0.11137,-2.65023,FALSE,3254.39924,3.74639,3.409,FALSE,FALSE,NM,0,4.9359,1.5269
mp-2713161,Na4ZrZn3SiS5O24,Triclinic,P1,1,114,0.07175,-2.19823,FALSE,1573.06605,3.0142,3.2895,FALSE,FALSE,NM,0,4.1912,0.9017
mp-2713166,Na4Zn3SiSnS5O24,Triclinic,P1,1,114,0.08635,-2.0465,FALSE,1537.16054,3.17368,2.0022,FALSE,FALSE,NM,0,3.4028,1.4006
mp-2713180,Na10Ti5Zn3Si6(SO8)6,Triclinic,P1,1,234,0.12056,-2.53908,FALSE,3067.21674,2.91427,1.2545,FALSE,FALSE,NM,0,3.0259,1.7714
mp-2713189,Na4Zn3GeP2(SO6)4,Triclinic,P1,1,114,0.07238,-2.10511,FALSE,1471.74436,3.16489,1.8239,TRUE,FALSE,NM,0,3.0282,1.2043
mp-2713194,Na4HfZn3P2(SO6)4,Triclinic,P1,1,114,0.05778,-2.29918,FALSE,1541.68817,3.36333,3.6946,TRUE,FALSE,NM,0,4.662,0.9674
mp-2713353,Na4HfZn3SiS5O24,Triclinic,P1,1,114,0.06848,-2.21679,FALSE,1554.48657,3.32988,3.6204,FALSE,FALSE,NM,0,4.6537,1.0333
mp-2713367,Na4ZrZn3P2(SO6)4,Triclinic,P1,1,114,0.05506,-2.28267,FALSE,1552.03814,3.06081,3.3321,TRUE,FALSE,NM,0,4.1989,0.8668
mp-2713391,Na4Zn3SiGeS5O24,Triclinic,P1,1,114,0.10801,-2.02871,FALSE,1488.92553,3.12236,1.7114,FALSE,FALSE,NM,0,3.0405,1.3291
mp-2713451,Na4TiZn3SiS5O24,Triclinic,P1,1,114,0.07441,-2.16901,FALSE,1518.56656,2.98014,1.6542,TRUE,FALSE,NM,0,2.7012,1.047
mp-2713496,Na10Zn3Si6Ge5(SO8)6,Triclinic,P1,1,234,0.19057,-2.20923,FALSE,2955.23635,3.23349,0.857,FALSE,FALSE,NM,0,2.9651,2.1081
mp-2713641,Na3Zn3GePS5O24,Triclinic,P1,1,111,0.05204,-2.0066,FALSE,1458.59226,3.11864,1.752,TRUE,FALSE,NM,0,2.6307,0.8787
mp-2714104,Na7NbZn3Si3(SO8)3,Triclinic,P1,1,123,0.14801,-2.31431,FALSE,1617.59773,3.12429,0.8316,FALSE,FALSE,NM,0,2.8333,2.0017
mp-2714282,Na7TaZn3Si3(SO8)3,Triclinic,P1,1,123,0.14549,-2.34344,FALSE,1606.53484,3.41881,1.5454,FALSE,FALSE,NM,0,3.688,2.1426
mp-2714658,Na5Zn3GeP3(SO8)3,Triclinic,P1,1,117,0.07974,-2.19764,FALSE,1490.44004,3.19838,1.63,TRUE,FALSE,NM,0,2.9602,1.3302
mp-2714682,Na5TiZn3P3(SO8)3,Triclinic,P1,1,117,0.06596,-2.33459,FALSE,1512.30869,3.07053,1.5127,TRUE,FALSE,NM,0,2.6964,1.1837
